0,1,2,3,4,5,6,7,8,9,10,11
81145628,Movie,Norm of the North: King Sized Adventure,"Richard Finn, Tim Maltby","Alan Marriott, Andrew Toth, Brian Dobson, Cole Howard, Jennifer Cameron, Jonathan Holmes, Lee Tockar, Lisa Durupt, Maya Kay, Michael Dobson","United States, India, South Korea, China",,2019-01-01,TV-PG,90 min,"Children & Family Movies, Comedies","Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first."
81065331,Movie,Norm of the North: Keys to the Kingdom,Tim Maltby,"Andrew Toth, Cole Howard, Maya Kay, Jennifer Cameron, Alan Marriott, Lee Tockar, Brian Drummond","India, United States",,2019-01-01,TV-PG,92 min,Children & Family Movies,"When Norm the polar bear is framed for a crime he didn’t commit, his friends step up to help him clear his name."
